# Source: mahavivo/english-wordlists CET4_edited.txt parsed from cached GitHub page.
# Fallbacks: previous generated phonetics plus six manual abbreviations/derived forms.
# Format: word<TAB>phonetic
a	/ə/
constant	/ˈkɔnstənt/
constitution	/ˌkɔnstiˈtjuː∫ən/
construct	/kənˈstrʌkt/
construction	/kənˈstrʌk∫ən/
consult	/kənˈsʌlt/
consume	/kənˈsjuːm/
consumption	/kənˈsʌmp∫ən/
contact	/ˈkɔntækt/
contain	/kənˈtein/
container	/kənˈteinə/
contemporary	/kənˈtempərəri/
contempt	/kənˈtempt/
content	/kənˈtent/
contest	/ˈkɔntest/
continent	/ˈkɔntinənt/
continual	/kənˈtinjuəl/
continue	/kənˈtinjuː/
continuous	/kənˈtinjuəs/
contract	/ˈkɔntrækt/
contradiction	/ˌkɔntrəˈdik∫ən/
contrary	/ˈkɔntrəri/
contrast	/ˈkɔntræst/
contribute	/kənˈtribjuːt/
control	/kənˈtrəul/
convenience	/kənˈviːnjəns/
convenient	/kənˈviːnjənt/
convention	/kənˈven∫ən/
conventional	/kənˈven∫ənl/
conversation	/ˌkɔnvəˈsei∫ən/
conversely	/ˈkɔnvəːsli/
conversion	/kənˈvəː∫ən/
convert	/kənˈvəːt/
convey	/kənˈvei/
convince	/kənˈvins/
cook	/kuk/
cool	/kuːl/
cooperate	/kəuˈɔpəreit/
coordinate	/kəuˈɔːdinit/
cope	/kəup/
copper	/ˈkɔpə/
copy	/ˈkɔpi/
cord	/kɔːd/
cordial	/ˈkɔːrdʒəl/
core	/kɔː/
corn	/kɔːn/
corner	/ˈkɔːnə/
corporation	/ˌkɔːpəˈrei∫ən/
correct	/kəˈrekt/
correction	/kəˈrek∫ən/
correspond	/kɔːrəˈspɔnd/
correspondent	/ˌkɔrisˈpɔndənt/
corresponding	/ˌkɔrisˈpɔndiŋ/
corridor	/ˈkɔridɔː/
cost	/kɔst/
costly	/ˈkɔstli/
cottage	/ˈkɔtidʒ/
cotton	/ˈkɔtn/
cough	/kɔːf/
could	/kud/
council	/ˈkaunsil/
count	/kaunt/
counter	/ˈkauntə/
country	/ˈkʌntri/
countryside	/ˈkʌntrisaid/
county	/ˈkaunti/
couple	/ˈkʌpl/
courage	/ˈkʌridʒ/
course	/kɔːs/
court	/kɔːt/
cousin	/ˈkʌzn/
cover	/ˈkʌvə/
cow	/kau/
coward	/ˈkauəd/
crack	/kræk/
craft	/krɑːft/
crane	/krein/
crash	/kræ∫/
crawl	/krɔːl/
crazy	/ˈkreizi/
cream	/kriːm/
create	/kriˈeit/
creative	/kri(ː)ˈeitiv/
creature	/ˈkriːt∫ə/
credit	/ˈkredit/
creep	/kriːp/
crew	/kruː/
cricket	/ˈkrikit/
crime	/kraim/
criminal	/ˈkriminl/
cripple	/ˈkripl/
crisis	/ˈkraisis/
critic	/ˈkritik/
critical	/ˈkritikəl/
criticism	/ˈkritisiz(ə)m/
criticize	/ˈkritisaiz/
crop	/krɔp/
cross	/krɔs/
crow	/krəu/
crowd	/kraud/
crown	/kraun/
crude	/kruːd/
cruel	/ˈkruəl/
crush	/krʌ∫/
crust	/krʌst/
cry	/krai/
crystal	/ˈkristl/
